id,hash,ignored,data,files
74,16921654,false,,"[0,1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,32,34,33,35,37,39,40,41,42,43,44,45,46,47,48,49]"
75,9451451,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,34,33,37,40,43,45,47,49]"
76,7388189,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,34,33,37,40,43,45,47,49]"
77,7113858,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,34,33,37,40,43,45,47,49]"
78,4948981,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,34,33,37,40,43,45,47,49]"
79,2219938,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,34,33,37,40,43,45,47,49]"
80,573080,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,27,34,33,37,40,45,47,49]"
81,2141629,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,27,30,34,33,37,40,45,47,49]"
82,2920801,false,,"[0,4,5,9,11,13,15,17,19,21,23,25,27,30,34,33,37,40,45,47,49]"
83,4818011,false,,"[0,4,5,6,9,11,13,15,17,19,21,23,25,27,29,30,34,33,37,40,45,47,49]"
84,10060454,false,,"[0,2,4,5,6,9,11,13,15,17,19,21,23,25,27,29,34,33,37,40,45,47,49]"
85,2741313,false,,"[0,2,4,5,6,9,11,13,15,17,19,21,23,25,27,29,34,33,37,38,40,43,45,47,49]"
86,289125,false,,"[0,2,4,5,6,9,13,15,17,21,23,25,29,34,33,37,40,45,47,49]"
87,1945971,false,,"[0,15,21,45]"
88,209966,false,,"[0,15,21,45]"
89,724424,false,,"[0,15,21,45]"
90,4936608,false,,"[0,15,21]"
91,5554887,false,,"[0,15,17,21]"
92,2476895,false,,"[0,2,4,15,17,21]"
93,326911,false,,"[0,4,15,21]"
94,1308862,false,,"[0,4,21]"
95,2779909,false,,"[0,5,9,23,34,33,35,47,49]"
96,2560279,false,,"[0,9,34,47]"
97,2149016,false,,"[0,9,34,47]"
98,1430278,false,,"[0,4,6,9,17,21,28,29,34,47]"
99,2275280,false,,"[0,2,4,6,9,17,27,28,29,34,40,43,45,47]"
100,858052,false,,"[0,2,4,6,9,17,27,29,34,33,40,47]"
101,664474,false,,"[0,4,6,9,17,27,29,34,33,47]"
102,3527924,false,,"[0,4,6,9,17,21,27,29,34,33,35,47,51,59]"
103,5625519,false,,"[0,4,6,9,17,21,27,29,34,33,35,47,51,59]"
104,6619392,false,,"[0,4,6,9,17,21,29,34,33,47,49,51]"
105,251674,false,,"[0,4,6,9,17,21,29,34,33,47,49]"
106,4167243,false,,"[0,4,6,9,13,15,17,21,23,25,29,34,33,40,45,47,49]"
107,2603936,false,,"[0,4,5,6,9,11,13,15,17,19,21,23,25,27,29,30,34,33,37,38,40,43,45,47,49]"
108,4252499,false,,"[0,2,4,5,6,9,13,15,17,21,23,25,27,29,34,33,38,40,43,45,47,49]"
109,5213451,false,,"[0,2,4,5,6,9,13,15,17,21,23,25,27,29,34,33,38,40,43,45,47,49]"
110,1855646,false,,"[0,4,5,6,9,13,15,23,29,34,33,40,43,47,49]"
111,1792623,false,,"[0,4,5,6,9,13,15,23,29,34,33,40,43,47,49]"
112,1329919,false,,"[0,4,5,6,9,15,23,29,34,33,40,47,49]"
113,6822255,false,,"[0,4,6,9,15,29,34,49]"
114,10221719,false,,"[0,4,9,15,34,49]"
115,6671300,false,,"[0,4,9,15,34,49]"
116,1250345,false,,"[0,4,9,15,34,49]"
117,968001,false,,"[0,4,15,34,49]"
118,1801962,false,,"[0,4,15,34,49]"
119,187724,false,,"[0,4,15,21,34,49]"
120,2608756,false,,"[0,4,15,21,34,49]"
121,2811711,false,,"[0,4,15,49]"
122,3278190,false,,"[0,2,4,6,13,17,27,29]"
123,4356058,false,,"[0,2,4,6,13,17,27,29,33,47,50,52,54,58,59,65,67]"
124,5246601,false,,"[0,2,4,6,13,17,27,29,47,51,50,52,54,58,59,65,67]"
125,5778324,false,,"[0,2,4,6,13,17,27,29,47]"
126,2239221,false,,"[0,4]"
127,192845,false,,"[0,4]"
128,242741,false,,"[0,4,9,15,21,49]"
129,809161,false,,"[0,4,9,15,21,49]"
130,1159966,false,,"[0,1,2,3,4,5,6,8,9,13,15,17,21,22,23,24,27,29,31,35,40,49,67]"
131,2482781,false,,"[0,1,2,3,4,5,6,8,9,13,15,17,21,22,23,24,27,29,31,33,35,40,47,49,67]"
