id,hash,ignored,data,files
160,7134037,false,,"[1,2,8,13,29]"
161,2033927,false,,"[1,5,6,8,13,20,24,29,36,47]"
162,437319,false,,"[1,8,13,29]"
163,1882712,false,,"[1,8,13,15,50]"
164,2198331,false,,"[1,5,6,8,13,15,20,22,26,28,29,38,42,49,50,56,57,59]"
165,1907253,false,,"[1,8,11,13,34,37,42]"
166,3228633,false,,"[1,8,13,33,37]"
167,3576284,false,,"[1,8,13]"
168,2553417,false,,"[1,3,5,6,8,13,14,24,22,23,28,29,30,36,39,40,43,46,56]"
169,393383,false,,"[1,8,13]"
170,4688335,false,,[3]
171,416670,false,,[3]
172,809566,false,,[3]
173,1269088,false,,[3]
174,5001046,false,,"[3,41]"
175,429765,false,,"[3,41]"
176,43628,false,,"[3,41]"
177,1544924,false,,"[3,41]"
178,2895828,false,,"[3,41]"
179,7533973,false,,"[3,8]"
180,2538407,false,,"[3,8]"
181,5966483,false,,"[3,8]"
182,192685,false,,"[3,8,33,43,45]"
183,1336648,false,,"[3,8,15,43]"
184,2569360,false,,"[3,8,43]"
185,7816216,false,,"[3,8,43]"
186,4082441,false,,"[3,8]"
187,1629858,false,,"[3,8]"
188,1292145,false,,"[3,2,8,14,21,26,27,30,32,40,43,45,49,52,56,57]"
189,1482078,false,,"[3,8,43,53]"
190,1565973,false,,"[3,8,43]"
191,4147451,false,,"[3,8,43]"
192,1035592,false,,[3]
193,1774801,false,,[3]
194,448687,false,,[3]
195,1774224,false,,"[3,8]"
196,4086687,false,,"[3,8]"
197,4408386,false,,"[3,8]"
198,2654437,false,,[2]
199,5568495,false,,[2]
200,1828069,false,,[2]
201,2322380,false,,[2]
202,2061226,false,,"[2,8,15,42]"
203,2524710,false,,"[2,8,14,24,39,40,42]"
204,2231669,false,,[2]
205,318155,false,,[2]
206,4687784,false,,"[2,26,40]"
207,3383595,false,,"[2,26,42]"
208,6148728,false,,"[2,26,42]"
209,3313799,false,,"[2,26,27,32]"
210,4460932,false,,"[2,14,26]"
211,285965,false,,[2]
212,188718,false,,[2]
213,3300530,false,,[2]
214,2497737,false,,[2]
215,278570,false,,[2]
216,2915522,false,,[2]
217,2255955,false,,[2]
218,37625,false,,"[2,42]"
219,326911,false,,[4]
220,1308862,false,,"[4,11,16,21,32,39,40]"
221,2779909,false,,"[4,11,12,19,21,23,30,32,35,37,40,46]"
222,2477226,false,,"[4,11,19,21,30,35,37]"
223,228068,false,,"[4,7,19,35,37,40,43,45]"
224,6509938,false,,"[4,7,19,32,35,38,40,45,46,59]"
225,3061679,false,,"[4,45]"
226,1068104,false,,"[4,11]"
227,664474,false,,"[4,12,14,18,19,27,30]"
228,3527924,false,,"[4,12,19,23,27,30,35]"
229,5625519,false,,"[4,12,19,23,27,30,35]"
230,6619392,false,,"[4,12,19,23,35]"
231,251674,false,,"[4,12,19,23,35]"
232,1428445,false,,[4]
233,4599403,false,,[4]
234,10221719,false,,"[4,12,19,32]"
235,6671300,false,,"[4,12,19,32]"
236,1250345,false,,"[4,12,19,32]"
237,3808222,false,,"[4,12,14,19]"
238,4575086,false,,"[4,12,14,19]"
239,3529144,false,,"[4,12,14,19]"
240,910640,false,,"[4,12,14,16,19,41]"
241,4948448,false,,"[4,12,14,19]"
242,2616060,false,,"[4,12,14,19]"
243,340224,false,,[4]
244,938414,false,,"[4,11,12,19,41]"
245,44894,false,,"[4,11,12,19,41]"
246,242741,false,,"[4,11,12,19,41]"
247,809161,false,,"[4,11,12,19]"
248,4357527,false,,"[5,6,20,22,26,28,29,36,47]"
249,5805713,false,,"[5,6,20,22,26,36,47]"
250,1673670,false,,"[5,6,20,22,26,36,47]"
251,2629556,false,,"[5,6,20,23,26,36,47]"
252,7940686,false,,"[5,6,20,23,26,36,47]"
253,632839,false,,"[5,36]"
254,653738,false,,"[5,16,18,21,22,23,26,27,28,35,36,37,38]"
255,4549003,false,,"[5,18,22,26,28,35,36,38]"
256,2565956,false,,"[5,6,24,22,23,29,36,46]"
257,5310644,false,,"[5,22]"
258,3145570,false,,"[5,22]"
259,2202495,false,,"[5,22,36]"
260,1442683,false,,"[5,22,36]"
261,497775,false,,[7]
262,1761773,false,,[7]
263,709580,false,,[7]
264,2328772,false,,"[7,39]"
265,698151,false,,"[7,39]"
266,329867,false,,"[7,59]"
267,2420920,false,,"[7,12]"
268,62284,false,,"[7,8,12,27,28,30,45,56]"
269,2743886,false,,[7]
270,5781317,false,,"[7,48]"
271,6455309,false,,"[7,16]"
272,9224068,false,,"[7,16]"
273,4194982,false,,"[7,16]"
274,1955496,false,,[7]
275,7556694,false,,[7]
276,3460328,false,,[7]
277,4972989,false,,[7]
278,3875033,false,,[7]
279,1855646,false,,"[7,12,16,19,23,25,27,30,31,32,35,37,39,41,46]"
280,1792623,false,,"[7,12,16,19,23,25,27,30,31,32,35,37,39,41,46]"
281,1329919,false,,"[7,12,16,19,23,25,27,30,32,35,37,39,41,46]"
282,5323828,false,,"[7,8,16,27,39]"
283,2160410,false,,[7]
284,6613345,false,,"[6,20]"
285,4743029,false,,"[6,20]"
286,1192458,false,,"[6,20,46]"
287,2424637,false,,[6]
288,2420278,false,,[6]
289,2448442,false,,[8]
290,45815,false,,"[8,32]"
291,1059504,false,,"[8,32]"
292,1016868,false,,"[8,32]"
293,3544634,false,,"[8,16,39]"
294,1978934,false,,[8]
295,752072,false,,"[8,23,52]"
296,1596114,false,,[8]
297,1735538,false,,[8]
298,4146511,false,,[8]
299,4356058,false,,[8]
300,548699,false,,[8]
301,5054059,false,,[8]
302,6044885,false,,[8]
303,1723089,false,,"[8,28,45]"
304,7007033,false,,"[8,36]"
305,7406343,false,,[8]
306,6250061,false,,[8]
307,692718,false,,[8]
308,912051,false,,[8]
309,4017949,false,,[8]
310,4618934,false,,[8]
311,6786219,false,,[8]
312,4167465,false,,"[8,11,27,32]"
313,6672214,false,,[8]
314,261920,false,,"[8,25]"
315,607775,false,,"[8,25]"
316,3936908,false,,[8]
317,4223106,false,,[8]
318,3053668,false,,"[8,42]"
319,3696514,false,,"[8,42]"
320,5527417,false,,"[8,42]"
321,1159965,false,,[8]
322,2237772,false,,"[8,48,50,51,52,53,54,55,56,58,59,60,61]"
323,2653838,false,,"[8,48,50,51,52,53,54,55,56,58,59,60,61]"
324,1052563,false,,"[8,9,45,48,49,50,51,52,53,54,55,56,58,59,60,61]"
325,134620,false,,"[8,9,45,48,49,50,52,53,56,59]"
326,2172933,false,,[8]
327,238191,false,,[8]
328,1461693,false,,[8]
329,1645921,false,,[8]
330,2012049,false,,[8]
331,112984,false,,"[8,49,50]"
332,3407285,false,,[8]
333,5524605,false,,[8]
334,4718355,false,,"[8,49,50]"
335,4651712,false,,"[8,49,50]"
336,3467,false,,"[8,49,50]"
337,2761653,false,,"[8,52]"
338,688769,false,,[8]
339,2210057,false,,[8]
340,681876,false,,"[8,57]"
341,1277613,false,,"[8,57]"
342,1686107,false,,"[8,57]"
343,3165821,false,,"[8,57]"
344,884448,false,,"[8,48,49,50,57]"
345,219085,false,,"[8,48,49,50,57]"
346,63318,false,,"[8,48,49,50,57]"
347,3316647,false,,"[8,26,28,38,42,48,49,50,57,59]"
